timestamp,fire_start_time,location,severity
2024-06-09 16:54:00,2024-06-09 16:53:00,"45.7373,-72.2228",low
2024-06-02 16:21:00,2024-06-02 16:20:00,"44.2024,-73.6653",high
2024-06-02 01:03:00,2024-06-02 01:01:00,"45.9498,-72.3424",high
2024-06-12 21:46:00,2024-06-12 21:40:00,"45.9563,-72.3989",low
2024-06-12 21:46:00,2024-06-04 16:36:00,"44.1255,-72.0541",high
2024-06-20 04:34:00,2024-06-20 04:25:00,"44.5101,-73.0568",medium
2024-06-09 13:27:00,2024-06-09 13:20:00,"45.0313,-73.2321",low
2024-06-06 21:38:00,2024-06-06 21:37:00,"44.6890,-72.0914",low
2024-06-06 21:38:00,2024-06-21 16:51:00,"44.2603,-73.0319",high
2024-06-02 12:25:00,2024-06-02 12:19:00,"45.8680,-73.5433",medium
2024-06-26 10:46:00,2024-06-26 10:45:00,"45.1068,-73.3420",medium
2024-06-25 21:49:00,2024-06-25 21:40:00,"44.2585,-72.4541",high
2024-06-25 21:49:00,2024-06-03 03:05:00,"44.3046,-73.9628",high
2024-06-10 13:14:00,2024-06-10 13:12:00,"44.1463,-72.3017",high
2024-06-29 04:11:00,2024-06-29 04:06:00,"45.9364,-72.1690",low
2024-06-06 00:47:00,2024-06-06 00:38:00,"44.5582,-72.8868",high
2024-06-06 00:47:00,2024-06-15 14:09:00,"44.4812,-72.0778",low
2024-06-04 16:19:00,2024-06-04 16:18:00,"45.2558,-73.1740",low
2024-07-01 14:39:00,2024-07-01 14:38:00,"45.4971,-73.1666",medium
2024-06-25 03:05:00,2024-06-25 02:55:00,"45.2663,-73.8079",high
2024-06-25 03:05:00,2024-06-12 05:44:00,"45.6445,-73.1661",high
2024-06-17 15:22:00,2024-06-17 15:14:00,"44.0416,-72.2126",medium
2024-06-24 00:27:00,2024-06-24 00:17:00,"44.0381,-72.9850",medium
2024-06-10 23:02:00,2024-06-10 22:52:00,"44.7336,-72.3250",high
2024-06-10 23:02:00,2024-07-01 03:02:00,"45.1096,-73.2076",high
2024-06-06 13:15:00,2024-06-06 13:12:00,"44.1029,-73.3752",high
2024-06-18 08:10:00,2024-06-18 08:06:00,"44.9453,-72.7402",medium
2024-07-01 15:51:00,2024-07-01 15:44:00,"45.4260,-72.1454",medium
2024-07-01 15:51:00,2024-06-26 13:01:00,"44.2085,-72.1321",high
2024-06-26 09:54:00,2024-06-26 09:48:00,"44.7072,-72.6106",high
2024-06-09 08:49:00,2024-06-09 08:43:00,"45.2573,-72.1336",low
2024-06-13 22:56:00,2024-06-13 22:55:00,"45.0502,-72.0613",medium
2024-06-13 22:56:00,2024-06-27 02:47:00,"45.4407,-72.3758",high
2024-06-16 10:16:00,2024-06-16 10:15:00,"45.9176,-73.2928",high
2024-06-27 20:10:00,2024-06-27 20:03:00,"45.9027,-73.0648",low
2024-06-28 06:39:00,2024-06-28 06:34:00,"44.5073,-72.4957",medium
2024-06-28 06:39:00,2024-06-11 04:42:00,"44.0122,-73.9111",medium
2024-06-24 05:12:00,2024-06-24 05:03:00,"45.8022,-72.8185",high
2024-06-04 16:35:00,2024-06-04 16:31:00,"45.5811,-73.2393",high
2024-06-14 01:47:00,2024-06-14 01:41:00,"45.4218,-73.4705",low
2024-06-14 01:47:00,2024-06-05 08:28:00,"44.9162,-72.4879",high
2024-06-26 18:46:00,2024-06-26 18:40:00,"44.2261,-72.3792",high
2024-06-23 20:43:00,2024-06-23 20:40:00,"44.9484,-72.8733",high
2024-06-27 12:56:00,2024-06-27 12:46:00,"45.8642,-72.3431",low
2024-06-27 12:56:00,2024-06-10 00:36:00,"44.1374,-72.7293",medium
2024-06-01 22:32:00,2024-06-01 22:31:00,"45.5946,-73.7013",medium
2024-06-20 18:06:00,2024-06-20 18:02:00,"45.4423,-73.7131",low
2024-06-12 19:45:00,2024-06-12 19:40:00,"44.7395,-73.6413",high
2024-06-12 19:45:00,2024-06-15 07:20:00,"44.1213,-73.3185",high
2024-06-13 14:01:00,2024-06-13 13:52:00,"44.0795,-72.3016",low
2024-06-18 02:48:00,2024-06-18 02:41:00,"44.8122,-73.4931",high
2024-06-08 02:35:00,2024-06-08 02:31:00,"44.7496,-73.5456",low
2024-06-08 02:35:00,2024-06-18 14:26:00,"45.4985,-72.8011",high
2024-06-03 12:16:00,2024-06-03 12:15:00,"44.0144,-73.7094",low
2024-06-16 00:02:00,2024-06-15 23:55:00,"44.9792,-72.3863",low
2024-06-27 04:56:00,2024-06-27 04:46:00,"45.6895,-72.5028",low
2024-06-27 04:56:00,2024-06-02 01:45:00,"45.2258,-72.5219",high
2024-07-01 04:20:00,2024-07-01 04:11:00,"45.5410,-72.6719",high
2024-06-21 06:24:00,2024-06-21 06:23:00,"44.2048,-72.1223",low
2024-06-03 11:35:00,2024-06-03 11:28:00,"45.8993,-72.7195",high
2024-06-03 11:35:00,2024-06-11 19:32:00,"45.4182,-73.2631",medium
2024-06-22 10:46:00,2024-06-22 10:42:00,"44.2735,-72.2823",high
2024-06-16 17:59:00,2024-06-16 17:52:00,"45.2340,-72.7887",low
2024-06-23 01:14:00,2024-06-23 01:07:00,"44.5918,-72.2776",high
2024-06-23 01:14:00,2024-06-12 09:33:00,"45.6740,-72.8385",high
2024-06-29 08:45:00,2024-06-29 08:35:00,"45.5401,-72.3775",high
2024-07-01 07:05:00,2024-07-01 06:57:00,"45.2410,-72.6985",high
2024-06-02 10:17:00,2024-06-02 10:14:00,"44.3903,-72.0105",medium
2024-06-02 10:17:00,2024-06-07 13:09:00,"45.9153,-73.4599",low
2024-06-05 14:18:00,2024-06-05 14:16:00,"45.5073,-73.1580",high
2024-06-03 15:39:00,2024-06-03 15:38:00,"45.7823,-72.4635",low
2024-06-30 02:57:00,2024-06-30 02:49:00,"44.2121,-72.5207",high
2024-06-30 02:57:00,2024-06-17 00:21:00,"44.2389,-73.6117",medium
2024-06-30 05:31:00,2024-06-30 05:28:00,"44.0344,-72.0022",medium
2024-06-11 06:17:00,2024-06-11 06:15:00,"45.0449,-73.9176",medium
2024-06-07 03:29:00,2024-06-07 03:19:00,"44.4483,-73.4281",medium
2024-06-07 03:29:00,2024-06-21 03:59:00,"44.3860,-72.6185",high
2024-06-23 11:21:00,2024-06-23 11:17:00,"44.6729,-72.4239",low
2024-06-02 04:35:00,2024-06-02 04:27:00,"44.8412,-72.0708",high
2024-06-19 07:45:00,2024-06-19 07:38:00,"45.7380,-73.3921",medium
2024-06-19 07:45:00,2024-06-22 20:33:00,"45.5708,-73.6532",medium
2024-06-16 10:50:00,2024-06-16 10:46:00,"44.4157,-72.4296",high
2024-06-02 11:40:00,2024-06-02 11:37:00,"44.8406,-73.5936",medium
2024-06-24 07:07:00,2024-06-24 07:05:00,"45.8989,-72.3090",low
2024-06-24 07:07:00,2024-06-24 05:19:00,"45.3514,-72.4535",high
2024-06-12 06:25:00,2024-06-12 06:16:00,"45.2233,-73.1869",high
2024-06-22 00:55:00,2024-06-22 00:45:00,"45.7942,-72.9426",high
2024-06-16 23:12:00,2024-06-16 23:02:00,"44.5031,-72.7508",medium
2024-06-16 23:12:00,2024-06-06 20:28:00,"44.0598,-73.9742",medium
2024-06-10 16:41:00,2024-06-10 16:34:00,"44.5941,-73.0278",medium
2024-06-16 05:05:00,2024-06-16 05:00:00,"45.9784,-73.0926",medium
2024-06-17 19:48:00,2024-06-17 19:45:00,"45.2616,-72.6165",high
2024-06-17 19:48:00,2024-06-18 00:29:00,"44.7825,-72.8128",medium
2024-06-14 06:41:00,2024-06-14 06:35:00,"45.6710,-73.4962",medium
2024-06-23 23:04:00,2024-06-23 22:57:00,"44.4532,-73.3267",low
2024-06-25 01:16:00,2024-06-25 01:06:00,"44.2025,-73.0751",high
2024-06-25 01:16:00,2024-06-06 11:00:00,"45.3502,-72.9781",low
2024-06-10 17:34:00,2024-06-10 17:32:00,"45.3425,-72.5107",low
2024-06-19 21:02:00,2024-06-19 20:57:00,"45.3619,-72.0509",high
2024-06-30 11:51:00,2024-06-30 11:42:00,"44.5250,-73.9127",low
2024-06-30 11:51:00,2024-06-10 01:55:00,"45.9228,-73.6928",high
2024-06-05 12:15:00,2024-06-05 12:12:00,"45.8521,-72.3573",medium
2024-06-03 05:46:00,2024-06-03 05:43:00,"44.4293,-73.7380",high
2024-06-27 15:20:00,2024-06-27 15:14:00,"44.4999,-72.5903",medium
2024-06-27 15:20:00,2024-07-01 15:03:00,"45.7909,-72.0504",low
2024-06-24 05:26:00,2024-06-24 05:22:00,"45.7874,-72.8902",low
2024-06-17 06:53:00,2024-06-17 06:52:00,"45.9224,-73.5333",medium
2024-06-02 17:36:00,2024-06-02 17:32:00,"44.8043,-72.8368",medium
2024-06-02 17:36:00,2024-06-08 09:43:00,"45.7147,-72.8901",high
2024-06-24 10:41:00,2024-06-24 10:36:00,"44.6185,-72.3051",high
2024-06-06 20:19:00,2024-06-06 20:11:00,"44.0123,-73.0915",medium
2024-06-22 17:43:00,2024-06-22 17:36:00,"45.5547,-73.7844",low
2024-06-22 17:43:00,2024-06-20 07:49:00,"45.8540,-73.5842",high
2024-06-07 04:10:00,2024-06-07 04:03:00,"45.3336,-72.3823",high
2024-06-22 11:42:00,2024-06-22 11:33:00,"45.2444,-73.6349",high
2024-06-06 22:52:00,2024-06-06 22:51:00,"45.9614,-72.5566",low
2024-06-06 22:52:00,2024-06-29 13:17:00,"44.4131,-73.9146",low
2024-06-09 14:20:00,2024-06-09 14:19:00,"45.2152,-72.0039",medium
2024-06-09 21:52:00,2024-06-09 21:42:00,"44.4462,-72.7088",low
2024-06-08 13:17:00,2024-06-08 13:11:00,"44.5906,-73.5119",medium
2024-06-08 13:17:00,2024-06-02 10:24:00,"44.4893,-72.6934",low
2024-06-17 00:56:00,2024-06-17 00:48:00,"44.0851,-72.1896",high
2024-06-10 16:21:00,2024-06-10 16:13:00,"44.1026,-72.1626",medium
2024-07-01 23:08:00,2024-07-01 23:02:00,"44.1998,-73.0649",high
2024-07-01 23:08:00,2024-06-01 16:50:00,"45.5663,-72.5085",high
2024-06-04 18:36:00,2024-06-04 18:34:00,"45.3065,-72.5803",low
2024-06-14 08:03:00,2024-06-14 08:01:00,"45.8686,-72.5541",medium
2024-06-23 14:30:00,2024-06-23 14:26:00,"44.9481,-73.6113",low
2024-06-23 14:30:00,2024-06-14 13:08:00,"45.8670,-72.9884",medium
2024-06-12 22:01:00,2024-06-12 21:51:00,"44.4114,-72.6777",low
2024-06-25 07:35:00,2024-06-25 07:34:00,"45.0218,-73.1741",low
2024-06-10 02:32:00,2024-06-10 02:24:00,"45.5119,-73.1832",high
2024-06-10 02:32:00,2024-06-05 19:05:00,"45.5960,-72.3511",medium
2024-06-27 09:12:00,2024-06-27 09:09:00,"45.3544,-73.4743",high
2024-06-05 18:15:00,2024-06-05 18:08:00,"44.8754,-73.4190",low
2024-06-27 12:57:00,2024-06-27 12:55:00,"45.9381,-72.7585",low
2024-06-27 12:57:00,2024-06-02 11:17:00,"44.3599,-72.9216",low
2024-06-19 15:09:00,2024-06-19 15:01:00,"45.1966,-73.8215",medium
2024-06-10 15:01:00,2024-06-10 14:58:00,"44.9465,-72.1138",high
2024-06-01 15:27:00,2024-06-01 15:19:00,"44.6746,-72.2582",low
2024-06-01 15:27:00,2024-06-06 12:38:00,"44.2721,-73.8766",high
2024-06-12 13:08:00,2024-06-12 13:03:00,"45.4947,-72.3724",low
2024-06-16 19:59:00,2024-06-16 19:56:00,"44.9019,-73.9370",high
2024-06-20 21:53:00,2024-06-20 21:48:00,"45.5113,-72.8113",medium
2024-06-20 21:53:00,2024-06-08 17:59:00,"45.5526,-72.7741",medium
2024-06-17 02:21:00,2024-06-17 02:11:00,"44.6101,-73.2371",high
2024-06-19 04:16:00,2024-06-19 04:11:00,"45.5091,-73.6576",low
2024-06-03 02:06:00,2024-06-03 01:58:00,"44.3764,-72.3588",medium
2024-06-03 02:06:00,2024-06-24 03:24:00,"45.7142,-72.5103",medium
2024-06-15 07:00:00,2024-06-15 06:51:00,"44.9668,-73.8170",medium
2024-06-20 18:05:00,2024-06-20 18:00:00,"44.6572,-72.6164",medium
2024-06-13 08:26:00,2024-06-13 08:17:00,"45.0926,-72.7546",low
2024-06-13 08:26:00,2024-06-24 05:32:00,"44.3572,-72.4763",medium
2024-06-26 05:40:00,2024-06-26 05:37:00,"45.1320,-72.8604",high
2024-06-14 13:14:00,2024-06-14 13:04:00,"44.0471,-73.4253",high
2024-06-30 17:39:00,2024-06-30 17:36:00,"45.9808,-72.9924",low
2024-06-30 17:39:00,2024-06-01 21:38:00,"45.5026,-73.0865",low
2024-06-30 22:12:00,2024-06-30 22:06:00,"45.8120,-72.4033",medium
2024-06-22 02:57:00,2024-06-22 02:56:00,"44.5925,-72.4596",low
2024-06-18 20:53:00,2024-06-18 20:45:00,"44.7874,-73.7559",high
2024-06-18 20:53:00,2024-06-03 15:26:00,"44.2892,-72.3567",low
2024-06-11 13:35:00,2024-06-11 13:29:00,"44.7743,-72.5468",medium
2024-06-06 22:07:00,2024-06-06 22:01:00,"44.3223,-72.6590",low
2024-06-30 03:06:00,2024-06-30 02:57:00,"45.1447,-73.1522",low
2024-06-30 03:06:00,2024-06-16 00:37:00,"45.6826,-72.5333",medium
2024-06-13 14:40:00,2024-06-13 14:36:00,"44.2970,-72.0850",high
2024-06-11 22:12:00,2024-06-11 22:09:00,"45.0492,-72.5954",high
2024-06-12 00:29:00,2024-06-12 00:27:00,"44.7432,-73.4737",medium
2024-06-12 00:29:00,2024-06-18 13:05:00,"44.9251,-72.3729",high
2024-06-06 14:50:00,2024-06-06 14:45:00,"45.3496,-72.5774",high
2024-06-02 00:18:00,2024-06-02 00:11:00,"45.4539,-73.8246",low
2024-06-27 16:50:00,2024-06-27 16:48:00,"44.1162,-72.4937",high
2024-06-27 16:50:00,2024-06-23 06:18:00,"44.4353,-73.9565",high
2024-06-14 11:59:00,2024-06-14 11:52:00,"44.7826,-73.0176",low
2024-06-19 13:35:00,2024-06-19 13:31:00,"44.0038,-72.0850",medium
2024-06-07 13:43:00,2024-06-07 13:35:00,"45.8672,-72.4275",medium
2024-06-07 13:43:00,2024-06-06 12:38:00,"45.3842,-73.2899",high
2024-06-26 10:18:00,2024-06-26 10:12:00,"45.4994,-72.9416",high
2024-06-14 07:57:00,2024-06-14 07:56:00,"44.3092,-73.2618",medium
2024-06-02 05:14:00,2024-06-02 05:05:00,"45.1649,-72.0496",medium
2024-06-02 05:14:00,2024-06-30 14:11:00,"44.6298,-73.1329",low
